"","Date","Latitude","Longitude","Acres","County","AgencyCode","Source","DDLat","DDLon","ORIG_OID"
"421",2014-12-10,21.932991,-159.442566,0.1,"Kauai","2014_KA_1405427"," ","21.93299100N","159.44256600W",812
"422",2015-05-18,21.932992,-159.442563,80,"Kauai","2015_KA_1502342"," ","21.93299200N","159.44256300W",813
"423",2014-01-02,21.932992,-159.442563,0.01,"Kauai","2014_KA_1400048"," ","21.93299200N","159.44256300W",814
"424",2012-08-27,21.93297,-159.442477,1,"Kauai","2012_KA_1203619"," ","21.93297000N","159.44247700W",815
"425",2014-08-06,21.933088,-159.442327,1,"Kauai","2014_KA_1403472"," ","21.93308800N","159.44232700W",816
"426",2016-04-11,21.933088,-159.442327,1,"Kauai","2016_KA_1601704"," ","21.93308800N","159.44232700W",817
"427",2015-05-30,21.933088,-159.442327,0.5,"Kauai","2015_KA_1502542"," ","21.93308800N","159.44232700W",818
"428",2016-05-11,21.933088,-159.442327,0.1,"Kauai","2016_KA_1602133"," ","21.93308800N","159.44232700W",819
"429",2013-07-16,21.933088,-159.442327,0.01,"Kauai","2013_KA_1303133"," ","21.93308800N","159.44232700W",820
"430",2013-10-23,21.933088,-159.442327,0.01,"Kauai","2013_KA_1304664"," ","21.93308800N","159.44232700W",821
"431",2014-03-14,21.933088,-159.442327,0.01,"Kauai","2014_KA_1401248"," ","21.93308800N","159.44232700W",822
"432",2014-04-30,21.933088,-159.442327,0.01,"Kauai","2014_KA_1401972"," ","21.93308800N","159.44232700W",823
"433",2016-04-27,21.933088,-159.442327,0.01,"Kauai","2016_KA_1601932"," ","21.93308800N","159.44232700W",824
"434",2007-04-18,21.8773479,-159.4403076,0.1,"Kauai","KA151","Kauai County","21.87734790N","159.44030760W",825
"435",2019-06-10,21.87609676,-159.4393466,500,"Kauai","2019_KA_1903000"," ","21.87609676N","159.43934656W",827
"436",2012-09-11,21.87609676,-159.4393466,0.01,"Kauai","2012_KA_1203825"," ","21.87609676N","159.43934656W",828
"437",2015-02-28,21.876461,-159.439026,0.25,"Kauai","2015_KA_1501062"," ","21.87646100N","159.43902600W",829
"438",2010-12-22,21.8746147,-159.4367676,0.01,"Kauai","KA554","Kauai County","21.87461470N","159.43676760W",830
"439",2019-09-27,22.18391309,-159.43651,0.01,"Kauai","2019_KA_1905091"," ","22.18391309N","159.43651005W",831
"440",2009-07-04,21.8768425,-159.4363098,0.25,"Kauai","KA153","Kauai County","21.87684250N","159.43630980W",832
"441",2007-01-16,21.8751278,-159.4361267,0.1,"Kauai","KA555","Kauai County","21.87512780N","159.43612670W",833
"442",2018-01-14,21.87743,-159.436126,0.01,"Kauai","2018_KA_1800250"," ","21.87743000N","159.43612600W",834
"443",2007-10-14,21.8818722,-159.434967,200,"Kauai","KA149","Kauai County","21.88187220N","159.43496700W",835
"444",2019-09-01,22.22132,-159.434712,0.01,"Kauai","2019_KA_1904612"," ","22.22132000N","159.43471200W",836
"445",2009-09-19,21.8880386,-159.4341888,200,"Kauai","KA556","Kauai County","21.88803860N","159.43418880W",837
"446",2009-09-11,21.8755226,-159.4341583,0.01,"Kauai","KA557","Kauai County","21.87552260N","159.43415830W",838
"447",2019-01-06,21.874879,-159.434113,0.01,"Kauai","2019_KA_1900121"," ","21.87487900N","159.43411300W",839
"448",2020-06-17,21.877385,-159.433479,0.01,"Kauai","2020_KA_2002762"," ","21.87738500N","159.43347900W",840
"449",2020-02-20,22.21934,-159.433019,0.1,"Kauai","2020_KA_2000994"," ","22.21934000N","159.43301900W",841
"450",2018-10-18,22.201946,-159.431172,0.01,"Kauai","2018_KA_1805087"," ","22.20194600N","159.43117200W",843
"451",2006-07-08,22.1961021,-159.4302521,0.3,"Kauai","KA154","Kauai County","22.19610210N","159.43025210W",844
"452",2015-04-01,21.88000622,-159.4300321,100,"Kauai","2015_KA_1501571"," ","21.88000622N","159.43003205W",845
"453",2015-04-01,21.88000622,-159.4300321,20,"Kauai","2015_KA_1501580"," ","21.88000622N","159.43003205W",846
"454",2015-04-01,21.88000622,-159.4300321,0.01,"Kauai","2015_KA_1501568"," ","21.88000622N","159.43003205W",847
"455",2010-07-03,22.2157593,-159.4282074,0.01,"Kauai","KA558","Kauai County","22.21575930N","159.42820740W",850
"456",2016-02-12,22.216136,-159.427925,0.01,"Kauai","2016_KA_1600716"," ","22.21613600N","159.42792500W",851
"457",2007-10-27,21.8839436,-159.4266663,0.1,"Kauai","KA559","Kauai County","21.88394360N","159.42666630W",852
"458",2020-06-02,22.216931,-159.425773,0.01,"Kauai","2020_KA_2002539"," ","22.21693100N","159.42577300W",853
"459",2020-06-29,22.2225361,-159.4231859,0.25,"Kauai","2020_KA_2002946"," ","22.22253610N","159.42318590W",854
"460",2018-12-14,21.951134,-159.423185,0.01,"Kauai","2018_KA_1806054"," ","21.95113400N","159.42318500W",855
"461",2016-01-13,21.994039,-159.420655,0.25,"Kauai","2016_KA_1600235"," ","21.99403900N","159.42065500W",856
"462",2012-09-01,21.994039,-159.420655,0.1,"Kauai","2012_KA_1203693"," ","21.99403900N","159.42065500W",857
"463",2013-02-03,21.994039,-159.420655,0.01,"Kauai","2013_KA_1300591"," ","21.99403900N","159.42065500W",858
"464",2011-01-31,21.9515305,-159.4199371,0.1,"Kauai","KA562","Kauai County","21.95153050N","159.41993710W",859
"465",2018-11-11,21.952083,-159.418647,0.12,"Kauai","2018_KA_1805512"," ","21.95208300N","159.41864700W",860
"466",2018-11-11,22.219845,-159.418464,0.01,"Kauai","2018_KA_1805513"," ","22.21984500N","159.41846400W",861
"467",2007-07-07,21.9505634,-159.4177551,0.1,"Kauai","KA564","Kauai County","21.95056340N","159.41775510W",862
"468",2009-02-18,22.2219868,-159.4177246,0.01,"Kauai","KA565","Kauai County","22.22198680N","159.41772460W",863
"469",2011-07-14,22.0709019,-159.4176331,0.01,"Kauai","KA566","Kauai County","22.07090190N","159.41763310W",864
"470",2010-05-26,21.9547424,-159.4162598,0.01,"Kauai","KA567","Kauai County","21.95474240N","159.41625980W",865
"471",2018-07-18,22.22282,-159.415648,0.01,"Kauai","2018_KA_1803472"," ","22.22282000N","159.41564800W",866
"472",2011-08-12,22.1991081,-159.414566,0.01,"Kauai","KA156","Kauai County","22.19910810N","159.41456600W",867
"473",2010-04-17,22.2008991,-159.4124603,0.01,"Kauai","KA157","Kauai County","22.20089910N","159.41246030W",868
"474",2008-07-06,22.222187,-159.4121552,0.2,"Kauai","KA568","Kauai County","22.22218700N","159.41215520W",869
"475",2010-10-16,22.2220497,-159.4120026,0.01,"Kauai","KA158","Kauai County","22.22204970N","159.41200260W",870
"476",2008-06-22,21.8923111,-159.4113617,0.1,"Kauai","KA569","Kauai County","21.89231110N","159.41136170W",871
"477",2019-06-23,22.223158,-159.411345,0.01,"Kauai","2019_KA_1903235"," ","22.22315800N","159.41134500W",872
"478",2012-06-29,22.2075619,-159.4112035,0.01,"Kauai","2012_KA_1202752"," ","22.20756190N","159.41120346W",873
"479",2019-06-01,22.223028,-159.41103,0.1,"Kauai","2019_KA_1902835"," ","22.22302800N","159.41103000W",874
"480",2019-05-31,22.222846,-159.410966,0.1,"Kauai","2019_KA_1902821"," ","22.22284600N","159.41096600W",875
"481",2009-03-02,21.9574509,-159.4105072,0.05,"Kauai","KA570","Kauai County","21.95745090N","159.41050720W",876
"482",2019-12-12,22.22326,-159.410498,0.1,"Kauai","2019_KA_1906426"," ","22.22326000N","159.41049800W",877
"483",2010-07-03,21.9569607,-159.4101715,0.25,"Kauai","KA572","Kauai County","21.95696070N","159.41017150W",878
"484",2016-05-30,22.20015794,-159.4101202,0.01,"Kauai","2016_KA_1602457"," ","22.20015794N","159.41012022W",882
"485",2019-11-01,22.223814,-159.410119,0.01,"Kauai","2019_KA_1905694"," ","22.22381400N","159.41011900W",883
"486",2016-07-08,22.20015603,-159.4101141,0.01,"Kauai","2016_KA_1603071"," ","22.20015603N","159.41011411W",884
"487",2012-01-05,21.95014497,-159.4100942,0.25,"Kauai","2012_KA_1200093"," ","21.95014497N","159.41009417W",885
"488",2012-05-23,22.21000306,-159.4100914,0.2,"Kauai","2012_KA_1202177"," ","22.21000306N","159.41009144W",886
"489",2009-09-14,22.2242355,-159.41008,0.01,"Kauai","KA573","Kauai County","22.22423550N","159.41008000W",887
"490",2010-07-26,22.212595,-159.4099579,0.1,"Kauai","KA574","Kauai County","22.21259500N","159.40995790W",890
"491",2020-07-01,22.20858422,-159.4095899,0.01,"Kauai","2020_KA_2002972"," ","22.20858422N","159.40958989W",891
"492",2008-08-05,22.2111664,-159.408783,0.1,"Kauai","KA160","Kauai County","22.21116640N","159.40878300W",892
"493",2013-04-03,22.21423193,-159.4056198,0.1,"Kauai","2013_KA_1301491"," ","22.21423193N","159.40561976W",893
"494",2008-01-30,22.2274055,-159.4042664,0.1,"Kauai","KA575","Kauai County","22.22740550N","159.40426640W",894
"495",2010-10-23,21.9543972,-159.4040375,1.5,"Kauai","KA576","Kauai County","21.95439720N","159.40403750W",895
"496",2010-01-22,22.0645199,-159.4034119,0.1,"Kauai","KA577","Kauai County","22.06451990N","159.40341190W",896
"497",2007-07-06,21.9615364,-159.4021606,1,"Kauai","KA155","Kauai County","21.96153640N","159.40216060W",897
"498",2013-03-18,21.952014,-159.401708,0.01,"Kauai","2013_KA_1301243"," ","21.95201400N","159.40170800W",898
"499",2019-12-18,22.22065394,-159.4015225,0.01,"Kauai","2019_KA_1906527"," ","22.22065394N","159.40152254W",899
"500",2012-10-15,22.20012786,-159.4001022,0.1,"Kauai","2012_KA_1204269"," ","22.20012786N","159.40010222W",901
"501",2016-03-23,21.98001461,-159.4001006,0.1,"Kauai","2016_KA_1601408"," ","21.98001461N","159.40010058W",902
"502",2015-07-28,21.95006303,-159.4000708,0.02,"Kauai","2015_KA_1503509"," ","21.95006303N","159.40007080W",903
"503",2020-09-13,21.96316218,-159.4000645,0.01,"Kauai","2020_KA_2004095"," ","21.96316219N","159.40006453W",904
"504",2017-09-16,21.9724632,-159.3990682,0.01,"Kauai","2017_KA_1704696"," ","21.97246320N","159.39906816W",905
"505",2013-06-30,22.218722,-159.397995,0.1,"Kauai","2013_KA_1302863"," ","22.21872200N","159.39799500W",906
"506",2015-06-07,22.218722,-159.397995,0.01,"Kauai","2015_KA_1502684"," ","22.21872200N","159.39799500W",907
"507",2016-04-07,22.218722,-159.397995,0.01,"Kauai","2016_KA_1601647"," ","22.21872200N","159.39799500W",908
"508",2015-05-11,22.218721,-159.397995,0.01,"Kauai","2015_KA_1502218"," ","22.21872100N","159.39799500W",909
"509",2018-06-02,22.063578,-159.397974,0.01,"Kauai","2018_KA_1802702"," ","22.06357800N","159.39797400W",910
"510",2013-02-18,22.218229,-159.39748,0.1,"Kauai","2013_KA_1300823"," ","22.21822900N","159.39748000W",911
"511",2017-01-01,21.963016,-159.395487,0.2,"Kauai","2017_KA_1700033"," ","21.96301600N","159.39548700W",912
"512",2015-03-26,21.963365,-159.393532,0.1,"Kauai","2015_KA_1501477"," ","21.96336500N","159.39353200W",913
"513",2008-04-03,22.0609951,-159.3926544,0.5,"Kauai","KA161","Kauai County","22.06099510N","159.39265440W",914
"514",2007-01-13,21.951395,-159.3916931,0.2,"Kauai","KA578","Kauai County","21.95139500N","159.39169310W",915
"515",2006-12-25,22.2110004,-159.3906708,0.1,"Kauai","KA163","Kauai County","22.21100040N","159.39067080W",916
"516",2007-08-19,21.9555893,-159.3902435,0.1,"Kauai","KA164","Kauai County","21.95558930N","159.39024350W",917
"517",2008-01-24,21.9539223,-159.3900757,0.1,"Kauai","KA579","Kauai County","21.95392230N","159.39007570W",918
"518",2007-07-07,21.954031,-159.38974,1,"Kauai","KA580","Kauai County","21.95403100N","159.38974000W",919
"519",2020-02-24,22.20432262,-159.3872877,0.1,"Kauai","2020_KA_2001094"," ","22.20432262N","159.38728768W",920
"520",2001-03-19,22.20438,-159.3872375,1,"Kauai","XX64","DOFAW","22.20438000N","159.38723750W",921
"521",2013-02-26,22.203337,-159.387202,0.01,"Kauai","2013_KA_1300936"," ","22.20333700N","159.38720200W",922
"522",2008-06-30,21.9642582,-159.387146,0.1,"Kauai","KA165","Kauai County","21.96425820N","159.38714600W",923
"523",2006-10-22,21.9475384,-159.3869324,0.1,"Kauai","KA166","Kauai County","21.94753840N","159.38693240W",924
"524",2020-09-09,22.023021,-159.386919,0.1,"Kauai","2020_KA_2004029"," ","22.02302100N","159.38691900W",925
"525",2016-12-16,21.94782126,-159.3869021,0.1,"Kauai","2016_KA_1605724"," ","21.94782126N","159.38690213W",926
"526",2018-09-14,22.218691,-159.38608,0.01,"Kauai","2018_KA_1804527"," ","22.21869100N","159.38608000W",927
"527",2005-08-12,22.0208054,-159.3859711,0.2,"Kauai","KA6","Kauai County","22.02080540N","159.38597110W",928
"528",2019-05-24,22.217007,-159.385062,0.01,"Kauai","2019_KA_1902696"," ","22.21700700N","159.38506200W",929
"529",2006-01-04,22.2126408,-159.3843842,0.1,"Kauai","KA7","Kauai County","22.21264080N","159.38438420W",930
"530",2008-10-18,22.0573673,-159.3842926,0.1,"Kauai","KA585","Kauai County","22.05736730N","159.38429260W",931
"531",2005-12-29,22.0263252,-159.384201,0.1,"Kauai","KA162","Kauai County","22.02632520N","159.38420100W",932
"532",2019-02-09,22.06485668,-159.3841626,0.01,"Kauai","2019_KA_1900769"," ","22.06485668N","159.38416256W",933
"533",2007-07-05,22.012022,-159.3839569,0.1,"Kauai","KA586","Kauai County","22.01202200N","159.38395690W",934
"534",2019-02-23,22.220852,-159.383713,0.01,"Kauai","2019_KA_1901022"," ","22.22085200N","159.38371300W",935
"535",2001-04-22,22.0287895,-159.3821716,1,"Kauai","XX65","DOFAW","22.02878950N","159.38217160W",936
"536",2018-02-01,22.062642,-159.382114,0.01,"Kauai","2018_KA_1800555"," ","22.06264200N","159.38211400W",937
"537",2007-06-26,22.0250835,-159.3820953,0.5,"Kauai","KA587","Kauai County","22.02508350N","159.38209530W",938
"538",2007-11-25,21.9749088,-159.3820343,0.1,"Kauai","KA588","Kauai County","21.97490880N","159.38203430W",939
"539",2017-01-01,21.952702,-159.38047,0.2,"Kauai","2017_KA_1700034"," ","21.95270200N","159.38047000W",940
"540",2015-03-07,21.93010458,-159.380124,0.1,"Kauai","2015_KA_1501185"," ","21.93010458N","159.38012397W",943
"541",2017-01-06,21.93015897,-159.3801018,0.01,"Kauai","2017_KA_1700140"," ","21.93015897N","159.38010183W",944
"542",2017-07-14,21.95000261,-159.3800829,0.01,"Kauai","2017_KA_1703591"," ","21.95000261N","159.38008292W",945
"543",2012-03-29,21.95003742,-159.3800654,0.01,"Kauai","2012_KA_1201376"," ","21.95003742N","159.38006536W",946
"544",2012-05-22,22.21002742,-159.3800399,0.1,"Kauai","2012_KA_1202167"," ","22.21002742N","159.38003989W",947
"545",2012-09-20,22.21003406,-159.3800279,0.1,"Kauai","2012_KA_1203951"," ","22.21003406N","159.38002794W",948
"546",2012-04-25,21.96002297,-159.3800247,0.1,"Kauai","2012_KA_1201750"," ","21.96002297N","159.38002472W",949
"547",2015-03-08,22.062768,-159.379992,0.1,"Kauai","2015_KA_1501201"," ","22.06276800N","159.37999200W",950
"548",2014-06-12,22.062768,-159.379992,0.01,"Kauai","2014_KA_1402620"," ","22.06276800N","159.37999200W",951
"549",2007-07-24,21.9512749,-159.3798218,0.7,"Kauai","KA589","Kauai County","21.95127490N","159.37982180W",952
"550",2007-07-10,21.9514618,-159.3797913,0.1,"Kauai","KA590","Kauai County","21.95146180N","159.37979130W",953
"551",2007-07-11,21.9511528,-159.3797302,4,"Kauai","KA591","Kauai County","21.95115280N","159.37973020W",954
"552",2010-05-26,21.9548035,-159.3796844,0.5,"Kauai","KA592","Kauai County","21.95480350N","159.37968440W",955
"553",2007-08-31,21.9515648,-159.3793945,0.1,"Kauai","KA593","Kauai County","21.95156480N","159.37939450W",956
"554",2013-05-02,21.972109,-159.379306,0,"Kauai","2013_KA_1301981"," ","21.97210900N","159.37930600W",957
"555",2007-07-10,21.9507523,-159.379303,0.1,"Kauai","KA594","Kauai County","21.95075230N","159.37930300W",958
"556",2007-08-23,21.9564915,-159.3792419,0.1,"Kauai","KA167","Kauai County","21.95649150N","159.37924190W",959
"557",2016-05-10,21.959256,-159.379005,2,"Kauai","2016_KA_1602123"," ","21.95925600N","159.37900500W",960
"558",2019-05-26,21.955056,-159.378941,0.2,"Kauai","2019_KA_1902732"," ","21.95505600N","159.37894100W",961
"559",2006-10-16,21.9662247,-159.3788147,0.1,"Kauai","KA168","Kauai County","21.96622470N","159.37881470W",962
"560",2015-07-29,21.952428,-159.378772,0.5,"Kauai","2015_KA_1503535"," ","21.95242800N","159.37877200W",963
"561",2007-09-10,21.9561749,-159.3786316,0.1,"Kauai","KA595","Kauai County","21.95617490N","159.37863160W",964
"562",2007-07-07,21.9544201,-159.3786316,30,"Kauai","KA596","DOFAW","21.95442010N","159.37863160W",965
"563",2009-10-14,21.9515743,-159.3780518,1,"Kauai","KA597","Kauai County","21.95157430N","159.37805180W",966
"564",2010-04-14,21.9738159,-159.3777771,0.1,"Kauai","KA599","Kauai County","21.97381590N","159.37777710W",967
"565",2015-08-20,22.205358,-159.377688,1,"Kauai","2015_KA_1503923"," ","22.20535800N","159.37768800W",968
"566",2015-06-18,22.205358,-159.377688,0.01,"Kauai","2015_KA_1502839"," ","22.20535800N","159.37768800W",969
"567",2012-12-01,22.20539772,-159.3775485,0.1,"Kauai","2012_KA_1204970"," ","22.20539772N","159.37754853W",970
"568",2005-12-26,22.2044144,-159.3773804,3.5,"Kauai","KA169","Kauai County","22.20441440N","159.37738040W",971
"569",2010-10-14,22.0830498,-159.3773499,0.1,"Kauai","KA170","Kauai County","22.08304980N","159.37734990W",972
"570",2020-09-13,21.95835818,-159.3772415,0.1,"Kauai","2020_KA_2004092"," ","21.95835818N","159.37724153W",973
"571",2016-09-26,21.958458,-159.377231,0.5,"Kauai","2016_KA_1604414"," ","21.95845800N","159.37723100W",974
"572",2015-05-26,21.963859,-159.376924,0.01,"Kauai","2015_KA_1502463"," ","21.96385900N","159.37692400W",975
"573",2019-11-17,21.951399,-159.376915,0.1,"Kauai","2019_KA_1905997"," ","21.95139900N","159.37691500W",976
"574",2016-09-23,22.07502945,-159.3766856,0.05,"Kauai","2016_KA_1604361"," ","22.07502945N","159.37668564W",977
"575",2011-09-25,22.0041008,-159.376358,0.5,"Kauai","KA601","Kauai County","22.00410080N","159.37635800W",978
"576",2009-06-04,21.9675331,-159.376236,0.01,"Kauai","KA602","Kauai County","21.96753310N","159.37623600W",979
"577",2020-07-31,22.19721831,-159.3761843,0.1,"Kauai","2020_KA_2003431"," ","22.19721831N","159.37618429W",980
"578",2008-08-05,22.0057831,-159.3761139,0.1,"Kauai","KA603","Kauai County","22.00578310N","159.37611390W",981
"579",2005-03-22,21.9745331,-159.3760529,1,"Kauai","KA8","Kauai County","21.97453310N","159.37605290W",982
"580",2010-06-02,21.951273,-159.3752289,3,"Kauai","KA604","Kauai County","21.95127300N","159.37522890W",983
"581",2015-05-30,21.9509,-159.375039,10,"Kauai","2015_KA_1502536"," ","21.95090000N","159.37503900W",984
"582",2005-06-23,21.9709473,-159.3749847,0.1,"Kauai","KA173","Kauai County","21.97094730N","159.37498470W",985
"583",2009-07-06,21.9512691,-159.3749542,0.01,"Kauai","KA605","Kauai County","21.95126910N","159.37495420W",986
"584",2015-03-16,21.958183,-159.374928,0.1,"Kauai","2015_KA_1501303"," ","21.95818300N","159.37492800W",987
"585",2010-02-06,22.0001888,-159.3745575,0.1,"Kauai","KA606","Kauai County","22.00018880N","159.37455750W",988
"586",2005-07-01,22.0640354,-159.3744049,0.1,"Kauai","KA174","Kauai County","22.06403540N","159.37440490W",989
"587",2009-10-02,21.9516029,-159.3739319,1,"Kauai","KA607","Kauai County","21.95160290N","159.37393190W",990
"588",2010-07-13,22.0614357,-159.3737335,0.01,"Kauai","KA175","Kauai County","22.06143570N","159.37373350W",991
"589",2010-11-24,21.9986992,-159.3736877,0.01,"Kauai","KA608","Kauai County","21.99869920N","159.37368770W",992
"590",2016-10-11,21.97173,-159.37338,0.01,"Kauai","2016_KA_1604640"," ","21.97173000N","159.37338000W",993
"591",2010-06-03,21.9514465,-159.3732452,0.01,"Kauai","KA609","Kauai County","21.95144650N","159.37324520W",994
"592",2008-07-24,21.9731941,-159.3728027,0.1,"Kauai","KA610","Kauai County","21.97319410N","159.37280270W",995
"593",2005-06-13,21.9802647,-159.3726959,1,"Kauai","KA176","Kauai County","21.98026470N","159.37269590W",996
"594",2006-06-18,21.9984035,-159.372467,0.2,"Kauai","KA177","Kauai County","21.99840350N","159.37246700W",997
"595",2018-08-07,21.951867,-159.372461,0.01,"Kauai","2018_KA_1803849"," ","21.95186700N","159.37246100W",998
"596",2017-11-22,21.96519855,-159.3717284,0.01,"Kauai","2017_KA_1705879"," ","21.96519855N","159.37172839W",999
"597",2015-11-25,21.951585,-159.371088,0.1,"Kauai","2015_KA_1505440"," ","21.95158500N","159.37108800W",1000
"598",2012-10-20,22.08692172,-159.3705867,0.1,"Kauai","2012_KA_1204341"," ","22.08692172N","159.37058670W",1001
"599",2020-10-18,22.094508,-159.370507,0.01,"Kauai","2020_KA_2004606"," ","22.09450800N","159.37050700W",1002
"600",2007-01-20,21.9963856,-159.3704834,0.1,"Kauai","KA180","Kauai County","21.99638560N","159.37048340W",1003
"601",2006-07-13,22.0569534,-159.3700714,0.1,"Kauai","KA183","Kauai County","22.05695340N","159.37007140W",1004
"602",2012-05-29,21.99634483,-159.3700583,0.01,"Kauai","2012_KA_1202290"," ","21.99634483N","159.37005827W",1005
"603",2008-01-04,22.0533161,-159.3699188,0.1,"Kauai","KA611","Kauai County","22.05331610N","159.36991880W",1006
"604",2016-02-13,22.09558652,-159.3694375,1,"Kauai","2016_KA_1600741"," ","22.09558652N","159.36943746W",1007
"605",2016-02-23,22.09558652,-159.3694375,0.1,"Kauai","2016_KA_1600912"," ","22.09558652N","159.36943746W",1008
"606",2018-07-20,21.97467955,-159.3690193,0.01,"Kauai","2018_KA_1803517"," ","21.97467955N","159.36901933W",1009
"607",2017-02-01,21.9774347,-159.3689379,0.01,"Kauai","2017_KA_1700611"," ","21.97743470N","159.36893786W",1010
"608",2020-09-02,21.97384429,-159.3687942,0.01,"Kauai","2020_KA_2003911"," ","21.97384429N","159.36879425W",1011
"609",2020-11-10,21.973898,-159.368686,0.01,"Kauai","2020_KA_2004920"," ","21.97389800N","159.36868600W",1012
"610",2007-09-10,21.9491634,-159.3684387,0.1,"Kauai","KA612","Kauai County","21.94916340N","159.36843870W",1013
"611",2017-12-16,21.97448132,-159.3681289,0.01,"Kauai","2017_KA_1706293"," ","21.97448132N","159.36812888W",1014
"612",2020-03-15,21.97448132,-159.3681289,0.01,"Kauai","2020_KA_2001447"," ","21.97448132N","159.36812888W",1015
"613",2010-08-27,21.9487286,-159.367981,0.05,"Kauai","KA613","Kauai County","21.94872860N","159.36798100W",1016
"614",2008-01-06,21.9490395,-159.3679504,0.1,"Kauai","KA614","Kauai County","21.94903950N","159.36795040W",1017
"615",2013-12-28,21.982495,-159.367762,0.01,"Kauai","2013_KA_1305624"," ","21.98249500N","159.36776200W",1018
"616",2007-07-07,21.9487114,-159.3677063,0.5,"Kauai","KA615","Kauai County","21.94871140N","159.36770630W",1019
"617",2008-06-01,22.0487614,-159.367691,0.1,"Kauai","KA171","Kauai County","22.04876140N","159.36769100W",1020
"618",2009-04-30,21.9830494,-159.3676605,0.01,"Kauai","KA172","Kauai County","21.98304940N","159.36766050W",1021
"619",2020-08-01,22.093186,-159.367636,0.01,"Kauai","2020_KA_2003444"," ","22.09318600N","159.36763600W",1022
"620",2007-07-24,21.973156,-159.3672485,0.1,"Kauai","KA178","Kauai County","21.97315600N","159.36724850W",1023
"621",2007-07-23,22.0949421,-159.3672333,0.1,"Kauai","KA179","Kauai County","22.09494210N","159.36723330W",1024
"622",2018-12-13,21.950936,-159.367219,0.1,"Kauai","2018_KA_1806047"," ","21.95093600N","159.36721900W",1025
"623",2016-09-17,21.954214,-159.367208,3,"Kauai","2016_KA_1604250"," ","21.95421400N","159.36720800W",1026
"624",2009-09-12,22.0504913,-159.3668213,0.01,"Kauai","KA616","Kauai County","22.05049130N","159.36682130W",1027
"625",2005-08-07,21.9663925,-159.3667297,0.2,"Kauai","KA184","Kauai County","21.96639250N","159.36672970W",1028
"626",2014-07-06,22.09566677,-159.3666827,0.1,"Kauai","2014_KA_1402979"," ","22.09566677N","159.36668273W",1029
"627",2008-04-08,21.9815998,-159.3666382,0.1,"Kauai","KA617","Kauai County","21.98159980N","159.36663820W",1030
"628",2007-07-27,22.001173,-159.3665161,0.1,"Kauai","KA618","Kauai County","22.00117300N","159.36651610W",1031
"629",2020-10-28,21.96096339,-159.366165,0.1,"Kauai","2020_KA_2004736"," ","21.96096339N","159.36616498W",1032
"630",2008-02-17,21.9875355,-159.3652649,0.1,"Kauai","KA189","Kauai County","21.98753550N","159.36526490W",1033
"631",2014-07-03,21.97183,-159.365122,1,"Kauai","2014_KA_1402933"," ","21.97183000N","159.36512200W",1034
"632",2006-05-31,21.9502296,-159.3650818,0.1,"Kauai","KA190","Kauai County","21.95022960N","159.36508180W",1035
"633",2017-08-17,21.98229366,-159.36502,0.1,"Kauai","2017_KA_1704183"," ","21.98229366N","159.36501999W",1036
"634",2015-07-03,21.985735,-159.364972,0.2,"Kauai","2015_KA_1503073"," ","21.98573500N","159.36497200W",1037
"635",2005-08-11,22.1022301,-159.3649597,0.5,"Kauai","KA191","Kauai County","22.10223010N","159.36495970W",1038
"636",2012-08-04,21.94946739,-159.3644435,0.1,"Kauai","2012_KA_1203275"," ","21.94946740N","159.36444353W",1040
"637",2009-07-14,22.0451527,-159.3642883,0.1,"Kauai","KA620","Kauai County","22.04515270N","159.36428830W",1041
"638",2010-10-18,21.9702854,-159.3642578,0.1,"Kauai","KA192","Kauai County","21.97028540N","159.36425780W",1042
"639",2020-01-29,21.971624,-159.3641401,0.01,"Kauai","2020_KA_2000536"," ","21.97162400N","159.36414014W",1043
"640",2010-12-14,22.0494022,-159.3639832,0.01,"Kauai","KA621","Kauai County","22.04940220N","159.36398320W",1044
"641",2013-02-11,21.95431063,-159.3638448,0.02,"Kauai","2013_KA_1300720"," ","21.95431063N","159.36384480W",1045
"642",2009-05-12,22.0737,-159.363739,0.1,"Kauai","KA194","Kauai County","22.07370000N","159.36373900W",1046
"643",2006-02-03,21.9810829,-159.3635101,0.1,"Kauai","KA195","Kauai County","21.98108290N","159.36351010W",1047
"644",2019-01-06,21.98681934,-159.363333,0.01,"Kauai","2019_KA_1900132"," ","21.98681934N","159.36333296W",1048
"645",2006-11-22,21.9471664,-159.363327,0.1,"Kauai","KA196","Kauai County","21.94716640N","159.36332700W",1049
"646",2009-07-03,21.9937897,-159.3632813,0.01,"Kauai","KA197","Kauai County","21.99378970N","159.36328130W",1050
"647",2007-07-16,22.0749493,-159.3631592,0.1,"Kauai","KA198","Kauai County","22.07494930N","159.36315920W",1051
"648",2005-12-24,21.9868813,-159.3627777,5,"Kauai","KA199","Kauai County","21.98688130N","159.36277770W",1052
"649",2015-08-19,21.98883366,-159.362709,0.1,"Kauai","2015_KA_1503907"," ","21.98883366N","159.36270901W",1053
"650",2007-07-26,21.9543495,-159.3626862,0.1,"Kauai","KA200","Kauai County","21.95434950N","159.36268620W",1054
"651",2010-06-14,21.9974136,-159.3626251,1,"Kauai","KA622","Kauai County","21.99741360N","159.36262510W",1055
"652",2020-08-16,21.9521412,-159.3625194,0.01,"Kauai","2020_KA_2003668"," ","21.95214120N","159.36251936W",1056
"653",2006-04-25,21.9481831,-159.3624268,0.1,"Kauai","KA201","Kauai County","21.94818310N","159.36242680W",1057
